Feature,Importance
Fwd IAT Min,0.004314441429295787
Fwd IAT Total,0.00417814126452184
Fwd Header Length,0.003893194127463049
ACK Flag Count,0.0035578684300252555
Flow IAT Mean,0.0031464604607980865
Flow Duration,0.0031342674729501665
Dst Port,0.0029399222596027093
Fwd IAT Mean,0.0029323823442892606
Fwd IAT Max,0.0029081198400986792
Fwd Packet Length Mean,0.0025293209390634852
Fwd Segment Size Avg,0.002464351549591994
Total Length of Fwd Packet,0.0024189223121417673
Total Fwd Packet,0.0023142094200560327
FWD Init Win Bytes,0.0021730298152447015
Flow Packets/s,0.0019765565998770386
Fwd Act Data Pkts,0.0019612726388272485
Active Min,0.001928524070444895
Flow IAT Min,0.001854509459773746
Active Max,0.0018019186914706796
Src Port,0.001742797903737136
Bwd Init Win Bytes,0.0017071896182289687
Bwd IAT Total,0.001676352357281651
Flow IAT Std,0.001598468793095851
Active Std,0.0015349757761268673
Flow Bytes/s,0.0014975472770225628
Bwd Header Length,0.001476223156078592
Active Mean,0.0013202970109995288
Bwd Packets/s,0.0013002298904353962
Flow IAT Max,0.0012409557902576369
Bwd IAT Max,0.0011510728501905301
Total Bwd packets,0.001119639267553672
Fwd IAT Std,0.0009711691705140842
Average Packet Size,0.0009693241850153454
Bwd IAT Mean,0.0009275852087687792
SYN Flag Count,0.0009254543757481243
Idle Min,0.0008682754328434493
Packet Length Variance,0.000842177970749339
PSH Flag Count,0.000812464518509863
Packet Length Max,0.0008056247298378416
Fwd Packets/s,0.0007986564281633083
Subflow Fwd Bytes,0.0007220503404982058
Idle Std,0.0007067056046920237
Fwd Packet Length Std,0.0006949300418106
Packet Length Mean,0.0006529302415363324
Idle Mean,0.0006493375811820557
Fwd Packet Length Max,0.0006147033143008661
Bwd IAT Std,0.0006096080916705142
Idle Max,0.0006034690461734865
Fwd Seg Size Min,0.0005173644654138591
Fwd PSH Flags,0.0004697362907954499
Packet Length Std,0.0004598687537129682
Subflow Bwd Packets,0.0004425022754775335
FIN Flag Count,0.0004259829826944863
Subflow Fwd Packets,0.00037916719087981653
Down/Up Ratio,0.0003457725691359044
Bwd IAT Min,0.000342296388873126
RST Flag Count,0.0002931908937093047
Bwd Segment Size Avg,0.00015244881261652937
Total Length of Bwd Packet,0.00014419481964891118
Bwd Bulk Rate Avg,0.00011959092507101674
Bwd Packet Length Mean,0.00011517764650590973
Bwd Packet Length Max,0.00011249135273563191
Bwd Bytes/Bulk Avg,0.00011179912629893441
Bwd Packet Length Min,8.220579212969578e-05
Bwd Packet Length Std,7.26855930736446e-05
Bwd Packet/Bulk Avg,6.741290637169291e-05
Fwd Packet Length Min,5.7254027098391135e-05
Subflow Bwd Bytes,5.317477828736479e-05
Packet Length Min,2.3400042028324017e-05
ECE Flag Count,4.695211670813031e-06
Fwd URG Flags,1.6230708390982895e-06
URG Flag Count,6.964510585093395e-07
CWR Flag Count,1.1399358428084835e-07
Protocol,0.0
Bwd URG Flags,0.0
Fwd Bulk Rate Avg,0.0
Fwd Packet/Bulk Avg,0.0
Bwd PSH Flags,0.0
Fwd Bytes/Bulk Avg,0.0
