Feature,Importance
Flow IAT Min,0.01678550547132754
ACK Flag Count,0.012117984436708203
Fwd IAT Min,0.009075296486033682
Flow Bytes/s,0.007859856816484124
Bwd Init Win Bytes,0.007544632096707735
RST Flag Count,0.0072666455754579265
Packet Length Mean,0.005966031271927014
Flow Duration,0.0057221009774099255
Flow IAT Max,0.005455338092953119
PSH Flag Count,0.004998901829945304
Dst Port,0.004709751010327734
Src Port,0.004461762514833052
Fwd Header Length,0.004395845396552946
Flow Packets/s,0.004349416430658349
Bwd Packets/s,0.004313506950791731
Flow IAT Mean,0.0041094278753898185
Fwd IAT Max,0.0038691754833690144
Packet Length Max,0.003550463615897929
Bwd Header Length,0.003482955722403496
Fwd IAT Mean,0.0033710908769675313
SYN Flag Count,0.003080484646477292
Fwd Packet Length Mean,0.0029840446135072293
Fwd IAT Total,0.0029281430391282478
Packet Length Std,0.0029106040066786717
Total Fwd Packet,0.002886143972937276
Fwd Packets/s,0.0028770765936065672
Fwd Segment Size Avg,0.0027468511087727432
Average Packet Size,0.0025757746550800317
FWD Init Win Bytes,0.002182493967663335
Flow IAT Std,0.002109237616932208
Fwd IAT Std,0.001914578151199967
Packet Length Variance,0.001612617957088031
Total Length of Fwd Packet,0.0015409329825942283
Total Bwd packets,0.0014166429958982567
Bwd IAT Total,0.0010689730507707084
Bwd IAT Mean,0.0009629774496759707
Fwd Packet Length Std,0.0009571252167603319
Down/Up Ratio,0.0009432080659763804
Fwd Packet Length Max,0.0008892048996439505
Fwd Seg Size Min,0.0008776140959383918
Bwd IAT Min,0.0008446232746040385
Subflow Fwd Packets,0.0007990933140264758
Bwd IAT Max,0.00079221228470917
FIN Flag Count,0.0007387513982372257
Bwd Packet Length Max,0.0007317077778928572
Bwd IAT Std,0.0007133439249379632
Fwd Act Data Pkts,0.0007099119917357186
Subflow Bwd Packets,0.0006930709355942074
Active Min,0.0006488341780084616
Bwd Packet Length Mean,0.0006028140550133116
Bwd Segment Size Avg,0.0005878463740208323
Bwd Packet/Bulk Avg,0.0005841381138930608
Total Length of Bwd Packet,0.0005481588865402638
Bwd Packet Length Std,0.0004372260980866313
Active Max,0.000429008595511729
Fwd PSH Flags,0.00042302569510421306
Idle Max,0.0003994210771073098
Active Mean,0.00038783859795956126
Idle Mean,0.0003166926399415159
Idle Min,0.0002981575077972905
Bwd Bytes/Bulk Avg,0.000276152313438712
Fwd Packet Length Min,0.0002516491907984157
Subflow Fwd Bytes,0.00023954849352593292
Active Std,0.00020778459336717555
Bwd Bulk Rate Avg,0.00019103952276559885
Subflow Bwd Bytes,0.00017122088484314415
Idle Std,0.0001685605834266304
ECE Flag Count,0.00016474503256252158
CWR Flag Count,0.00010062207895286647
Bwd Packet Length Min,9.456668867326756e-05
URG Flag Count,3.2990169507967634e-05
Packet Length Min,1.6079093080898654e-05
Fwd URG Flags,4.856666839007254e-06
Protocol,0.0
Bwd PSH Flags,0.0
Bwd URG Flags,0.0
Fwd Bulk Rate Avg,0.0
Fwd Packet/Bulk Avg,0.0
Fwd Bytes/Bulk Avg,0.0
